run_id,group,config_name,layer,timestep,noise,n_videos,delta_avg,source_log,source_result_dir,source_video_count,copied_video_count
limitations::layer[17]_timestep[1]_noiseFalse,limitations,layer[17]_timestep[1]_noiseFalse,17,1,False,4,0.0,results/limitations/layer[17]_timestep[1]_noiseFalse/log.txt,results/limitations/layer[17]_timestep[1]_noiseFalse,0,0
limitations::layer[17]_timestep[5]_noiseFalse,limitations,layer[17]_timestep[5]_noiseFalse,17,5,False,4,0.8,results/limitations/layer[17]_timestep[5]_noiseFalse/log.txt,results/limitations/layer[17]_timestep[5]_noiseFalse,0,0
limitations::layer[29]_timestep[49]_noiseFalse,limitations,layer[29]_timestep[49]_noiseFalse,29,49,False,4,38.0,results/limitations/layer[29]_timestep[49]_noiseFalse/log.txt,results/limitations/layer[29]_timestep[49]_noiseFalse,0,0
limitations::layer[8]_timestep[49]_noiseFalse,limitations,layer[8]_timestep[49]_noiseFalse,8,49,False,4,41.9,results/limitations/layer[8]_timestep[49]_noiseFalse/log.txt,results/limitations/layer[8]_timestep[49]_noiseFalse,0,0
new_experiments::layer[17]_timestep[20]_noiseFalse,new_experiments,layer[17]_timestep[20]_noiseFalse,17,20,False,4,33.4,results/new_experiments/layer[17]_timestep[20]_noiseFalse/log.txt,results/new_experiments/layer[17]_timestep[20]_noiseFalse,0,0
new_experiments::layer[17]_timestep[5]_noiseFalse,new_experiments,layer[17]_timestep[5]_noiseFalse,17,5,False,4,0.8,results/new_experiments/layer[17]_timestep[5]_noiseFalse/log.txt,results/new_experiments/layer[17]_timestep[5]_noiseFalse,0,0
new_experiments::layer[5]_timestep[10]_noiseFalse,new_experiments,layer[5]_timestep[10]_noiseFalse,5,10,False,4,1.7,results/new_experiments/layer[5]_timestep[10]_noiseFalse/log.txt,results/new_experiments/layer[5]_timestep[10]_noiseFalse,0,0
new_experiments::layer[5]_timestep[5]_noiseFalse,new_experiments,layer[5]_timestep[5]_noiseFalse,5,5,False,4,0.0,results/new_experiments/layer[5]_timestep[5]_noiseFalse/log.txt,results/new_experiments/layer[5]_timestep[5]_noiseFalse,0,0
param_study::layer[17]_timestep[10]_noiseFalse,param_study,layer[17]_timestep[10]_noiseFalse,17,10,False,4,13.1,results/param_study/layer[17]_timestep[10]_noiseFalse/log.txt,results/param_study/layer[17]_timestep[10]_noiseFalse,0,0
param_study::layer[17]_timestep[30]_noiseFalse,param_study,layer[17]_timestep[30]_noiseFalse,17,30,False,4,47.8,results/param_study/layer[17]_timestep[30]_noiseFalse/log.txt,results/param_study/layer[17]_timestep[30]_noiseFalse,0,0
param_study::layer[17]_timestep[49]_noiseFalse,param_study,layer[17]_timestep[49]_noiseFalse,17,49,False,2,47.0,results/param_study/layer[17]_timestep[49]_noiseFalse/log.txt,results/param_study/layer[17]_timestep[49]_noiseFalse,0,0
param_study::layer[27]_timestep[49]_noiseFalse,param_study,layer[27]_timestep[49]_noiseFalse,27,49,False,2,37.0,results/param_study/layer[27]_timestep[49]_noiseFalse/log.txt,results/param_study/layer[27]_timestep[49]_noiseFalse,0,0
param_study::layer[5]_timestep[49]_noiseFalse,param_study,layer[5]_timestep[49]_noiseFalse,5,49,False,2,31.3,results/param_study/layer[5]_timestep[49]_noiseFalse/log.txt,results/param_study/layer[5]_timestep[49]_noiseFalse,0,0
param_study_no_chunk::layer[17]_timestep[49]_noiseFalse,param_study_no_chunk,layer[17]_timestep[49]_noiseFalse,17,49,False,4,46.4,results/param_study_no_chunk/layer[17]_timestep[49]_noiseFalse/log.txt,results/param_study_no_chunk/layer[17]_timestep[49]_noiseFalse,0,0
